sgRNA	gene	CTRL_ERS717283.plasmid	CTRL_AHumanV1scr_r1-altered	MOLM_rep_1	MOLM_rep_2	MV411_rep_1	MV411_rep_2	HL60_rep_1	HL60_rep_2	OCIAML2_rep_1	OCIAML2_rep_2	OCIAML3_rep_1	OCIAML3_rep_2
ABCA2_CCDS43909.1_ex35_9:139912632-139912655:+_5-3	ABCA2	313	347	499	159	323	261	297	300	216	334	411	569
ABCA2_CCDS43909.1_ex37_9:139913372-139913395:-_5-5	ABCA2	426	467	312	147	247	714	316	317	293	537	220	356
ABCA2_CCDS43909.1_ex27_9:139910559-139910582:+_5-1	ABCA2	580	671	488	472	153	351	1452	849	400	447	433	690
ABCA2_CCDS43909.1_ex35_9:139912690-139912713:-_5-4	ABCA2	786	815	861	202	1034	1208	568	514	552	731	357	658
ABCA3_CCDS10466.1_ex18_16:2348501-2348524:-_5-1	ABCA3	380	526	431	273	104	851	327	403	489	717	307	283
ABCA3_CCDS10466.1_ex25_16:2369697-2369720:+_5-4	ABCA3	714	841	64	67	72	87	165	164	205	230	169	140
ABCA3_CCDS10466.1_ex21_16:2354103-2354126:+_5-2	ABCA3	548	678	424	204	614	457	600	568	506	730	759	1037
ABCA3_CCDS10466.1_ex25_16:2369770-2369793:+_5-5	ABCA3	322	454	275	201	341	363	362	393	289	473	402	470
ABCA3_CCDS10466.1_ex22_16:2358534-2358557:+_5-3	ABCA3	501	596	212	182	62	408	498	760	375	623	393	582
ABCA4_CCDS747.1_ex38_1:94528692-94528715:-_5-3	ABCA4	457	511	402	461	888	520	402	371	317	374	279	400
ABCA4_CCDS747.1_ex37_1:94528128-94528151:+_5-2	ABCA4	476	588	662	102	63	298	530	882	284	379	495	668
ABCA4_CCDS747.1_ex28_1:94508342-94508365:+_5-1	ABCA4	375	452	189	263	85	482	327	349	168	214	410	419
ABCA4_CCDS747.1_ex42_1:94546256-94546279:+_5-5	ABCA4	247	375	1111	99	1627	263	293	358	293	360	196	256
ABCA4_CCDS747.1_ex38_1:94528711-94528734:+_5-4	ABCA4	440	528	77	142	174	142	112	279	186	188	180	144
ABCA5_CCDS11685.1_ex32_17:67300883-67300906:+_5-3	ABCA5	199	287	322	206	410	204	338	248	415	474	219	214
ABCA5_CCDS11685.1_ex35_17:67305496-67305519:+_5-5	ABCA5	294	339	112	41	14	1013	121	105	159	348	92	393
ABCA5_CCDS11685.1_ex33_17:67302987-67303010:+_5-4	ABCA5	251	305	259	65	516	138	762	399	329	480	291	268
ABCA5_CCDS11685.1_ex22_17:67282094-67282117:+_5-1	ABCA5	90	109	11	214	0	54	16	51	60	51	65	60
ABCA5_CCDS11685.1_ex24_17:67283787-67283810:+_5-2	ABCA5	434	513	803	487	166	341	518	477	433	522	264	364
ABCA6_CCDS11683.1_ex30_17:67121163-67121186:-_5-3	ABCA6	10	24	0	0	0	5	0	0	6	13	5	19
ABCA6_CCDS11683.1_ex27_17:67111582-67111605:-_5-2	ABCA6	588	731	2813	237	392	397	544	825	668	734	430	397
ABCA6_CCDS11683.1_ex32_17:67125796-67125819:-_5-4	ABCA6	194	244	50	162	266	96	180	151	118	290	91	200
ABCA6_CCDS11683.1_ex22_17:67106962-67106985:-_5-1	ABCA6	176	191	227	238	0	378	107	169	131	175	192	148
ABCA6_CCDS11683.1_ex35_17:67132250-67132273:+_5-5	ABCA6	101	158	72	113	62	371	53	183	108	160	36	43
ABCA7_CCDS12055.1_ex10_19:1045160-1045183:-_5-2	ABCA7	812	876	290	425	232	547	838	638	687	972	350	754
ABCA7_CCDS12055.1_ex20_19:1052067-1052090:+_5-5	ABCA7	698	918	240	111	202	732	724	693	631	653	669	917
ABCA7_CCDS12055.1_ex18_19:1051155-1051178:+_5-4	ABCA7	612	697	294	262	1049	419	600	496	342	745	390	493
ABCA7_CCDS12055.1_ex11_19:1046257-1046280:-_5-3	ABCA7	632	720	337	790	249	709	897	1031	480	827	451	577
ABCA7_CCDS12055.1_ex3_19:1042137-1042160:+_5-1	ABCA7	743	800	620	347	209	478	650	527	423	551	652	887
